DATE,BIOGAS,BIOMASS,GEOTHERMAL,SMALL HYDRO,SOLAR,WIND TOTAL
1/31/18,5437.976257,7845.295491,22357.23818,8398.346841,1839.138516,4598.636034
2/28/18,5546.00323,7936.040965,22647.78591,9508.598184,2136.46189,10817.70828
3/31/18,5710.832234,8244.545417,22811.73638,9220.065214,1794.900133,16103.00016
4/30/18,5658.18792,8221.78246,22763.17738,9702.292312,2413.870644,21077.12161
5/31/18,5731.033048,8306.15588,22431.48826,9264.519206,2093.260931,18413.5499
6/30/18,5754.072725,8329.321304,23207.00223,10031.56081,3112.737261,27771.29668
7/31/18,5703.292988,8237.940223,22930.43198,9437.379399,2491.718228,20495.58916
8/31/18,5687.477235,8202.576563,23001.65098,9681.18511,2683.284461,19651.83561
9/30/18,5738.939481,8294.157519,23122.94537,9548.440368,2486.686747,19665.5682
10/31/18,5687.184943,8197.891963,22714.62679,9198.369672,2424.803147,12590.18709
11/30/18,5821.302946,8454.861579,22817.53149,9095.598491,2137.407199,15022.33211
12/31/18,5473.257011,7794.352122,22450.9899,9079.642242,2066.324066,6165.62091
1/31/19,5457.429435,7764.708498,22311.95164,8613.020771,1911.973223,5959.121023
2/28/19,5652.030174,8133.660716,22724.34189,9112.516642,1989.209358,15939.24462
3/31/19,5821.589046,8453.320236,22712.44965,9427.350916,1837.135895,17757.78738
4/30/19,5653.122306,8134.467434,22643.04778,9550.655945,2313.03827,18860.39033
5/31/19,5712.943847,8247.364817,22480.07964,9287.493136,2055.897227,17506.04732
6/30/19,5765.558106,8346.611477,23188.1114,10084.94417,3100.44265,27476.90609
7/31/19,5701.878459,8226.553467,22890.1203,9467.569766,2525.895938,20760.69036
8/31/19,5688.578245,8201.425454,22994.32538,9655.750465,2694.577911,19804.38879
9/30/19,5735.023712,8289.029971,23048.43525,9510.296448,2473.384361,19312.47049
10/31/19,5688.219672,8200.804266,22712.47476,9245.350685,2443.398158,13432.52125
11/30/19,5839.287307,8485.596822,22861.75708,9101.726599,2109.054498,15071.06817
12/31/19,5472.522009,7794.168688,22415.15651,9027.060127,2064.358025,6088.168474
1/31/20,5467.57658,7784.849597,22321.07846,8619.595702,1885.417929,6134.688671
2/29/20,5659.428979,8146.539588,22688.89345,9042.474598,2071.086258,15705.73564
3/31/20,5805.354594,8421.653638,22713.8081,9350.490222,1738.269444,17690.16245
4/30/20,5672.458801,8171.106976,22692.28235,9728.019103,2334.212,19859.62369
5/31/20,5722.249337,8264.978308,22467.90243,9224.769708,1982.005608,17946.21259
6/30/20,5760.883887,8337.81562,23191.20478,9984.868641,3064.016253,26132.38779
7/31/20,5698.689396,8220.559254,22918.12148,9484.296973,2447.207911,21121.14611
8/31/20,5694.376346,8212.427692,23034.99182,9728.452284,2791.444956,20145.38085
9/30/20,5739.538701,8297.573412,23011.00426,9507.749445,2444.656028,19279.63081
10/31/20,5672.169384,8170.56061,22767.01014,9130.282322,2423.832695,13917.71037
11/30/20,5811.193587,8432.665678,22859.45779,9073.620207,2141.745974,14470.19379
12/31/20,5474.276981,7797.469417,22427.03224,8993.167452,2071.066312,5957.994942
1/31/21,5448.045609,7748.014908,22355.68628,8585.235578,1879.551229,5865.856029